Key,Description,en,fr
tut:Hover Tutorial:Enable battery3,A tutorial label,Enable Battery,Activez la Batterie
tut:Hover Tutorial:start up apu4,A tutorial label,Start APU,Demarrez l'APU
tut:Hover Tutorial:wait spool apu5,A tutorial label,Let the APU spool up,Laissez l'APU atteindre sa vitesse
tut:Hover Tutorial:StartLeftEngine6,A tutorial label,Start Left Engine,Demarrez le Moteur Gauche
tut:Hover Tutorial:StartRightEngine7,A tutorial label,Start Right Engine,Demarrez le Moteur Droit
tut:Hover Tutorial:Flaps8,A tutorial label,Set flaps to full,Reglez les volets sur la position maximale
tut:Hover Tutorial:WaitSpool9,A tutorial label,Wait for the engines to spool up.,Attendez que les moteurs atteignent leur puissance. Nous pouvons alors eteindre l'APU.
tut:Hover Tutorial:NoNeedAPU10,A tutorial label,The engines are now supplying power. We can turn off the APU.,Les moteurs fournissent desormais de l'energie. Nous pouvons eteindre l'APU.
tut:Hover Tutorial:TurnOffAPU11,A tutorial label,Turn off APU.,Eteignez l'APU
tut:Hover Tutorial:EnableHUD12,A tutorial label,Turn on the HUD,Allumez le HUD
tut:Hover Tutorial:EnableMFD113,A tutorial label,Turn on the MFDs,Allumez les MFD
tut:Hover Tutorial:EnableMFD214,A tutorial label,Turn on the MFDs,Allumez les MFD
tut:Hover Tutorial:EnableMFD315,A tutorial label,Turn on the MFDs,Allumez les MFD
tut:Hover Tutorial:GrabJoy16,A tutorial label,Grab the joystick.,Prenez le joystick en main.
tut:Hover Tutorial:GrabThrottle17,A tutorial label,Grab the throttle.,Prenez le manche des gaz en main.
tut:Hover Tutorial:SetTilt18,A tutorial label,Set the engine tilt to 90,Reglez l’inclinaison des moteurs a 90 degres.
tut:Hover Tutorial:LiftOff19,A tutorial label,Slowly lift the throttle until you take off.,Augmentez lentement les gaz jusqu'au decollage.
tut:Hover Tutorial:MaintainAttitude20,A tutorial label,Try to keep your nose level with the horizon.,Essayez de maintenir le nez de l'avion a l'horizontale.
tut:Hover Tutorial:ClimbAltitude21,A tutorial label,Slowly climb to 100m altitude.,Montez lentement jusqu’a une altitude de 100 metres.
tut:Hover Tutorial:Hover22,A tutorial label,Adjust throttle to maintain zero vertical speed.,Ajustez les gaz pour maintenir une vitesse verticale nulle.
tut:Hover Tutorial:CancelLaterals23,A tutorial label,Cancel lateral speed by rolling or pitching slightly in the opposite direction.,Annulez la vitesse laterale en inclinant ou en pivotant legerement dans la direction opposee.
tut:Hover Tutorial:HoldPos24,A tutorial label,Try to hold this position for a few moments.,Essayez de maintenir cette position quelques instants.
tut:Hover Tutorial:DescendTime25,A tutorial label,Now lets try to land.,Passons maintenant a l’atterrissage.
tut:Hover Tutorial:Descend26,A tutorial label,Adjust throttle to slowly descend at about -6 m/s,Ajustez les gaz pour descendre lentement a environ -6 m/s.
tut:Hover Tutorial:PrepareForImpact27,A tutorial label,Throttle up to about -2 m/s,Augmentez les gaz jusqu’a environ -2 m/s.
tut:Hover Tutorial:PostLand28,A tutorial label,Throttle down!,Reduisez les gaz !
tut:Hover Tutorial:Complete29,A tutorial label,Tutorial complete! Good job!,Tutoriel termine ! Bon travail !
UCAV GMA-14 Launcher_fullName,Full equip name of: UCAV GMA-14 Launcher,UCAV GMA-14 Launcher,Lanceur UCAV GMA-14
UCAV GMA-14 Launcher_description,Item description of: UCAV GMA-14 Launcher,Single air-to-ground missile launcher for UCAV.,Lanceur de missile air-sol unique pour UCAV.
GBU-12 Laser Guided Bomb x2_fullName,Full equip name of: GBU-12 Laser Guided Bomb x2,GBU-12 Laser Guided Bomb x2,Bombe Guidee Laser GBU-12 x2
GBU-12 Laser Guided Bomb x2_description,Item description of: GBU-12 Laser Guided Bomb x2,A rack of two 500lb laser guided bombs.,Support de deux bombes guidees par laser de 500 lb.
M62 Vulcan 20mm_fullName,Full equip name of: M62 Vulcan 20mm,M62 Vulcan 20mm,Vulcan M62 20mm
M62 Vulcan 20mm_description,Item description of: M62 Vulcan 20mm,A modern 20mm rotary cannon.,Canon rotatif moderne de 20 mm.
GBU-38 Bomb x2_fullName,Full equip name of: GBU-38 Bomb x2,GBU-38 Bomb x2,Bombe GBU-38 x2
GBU-38 Bomb x2_description,Item description of: GBU-38 Bomb x2,500lb GPS guided direct attack munition. It's a Mk.82 bomb with a guidance package strapped on.,Munition de 500 lb guidee par GPS pour attaque directe. C’est une bombe Mk.82 avec un systeme de guidage additionnel.
Hydra-70 x14 Rocket Pod_fullName,Full equip name of: Hydra-70 x14 Rocket Pod,Hydra-70 x14 Rocket Pod,Pod Hydra-70 x14
Hydra-70 x14 Rocket Pod_description,Item description of: Hydra-70 x14 Rocket Pod,"A pair of pods carrying a total of 14 high explosive rockets. Can be fired in single shot mode, or rapid fire (ripple).",Ensemble de pods contenant 14 roquettes hautement explosives. Peut etre tire en mode coup par coup ou en tir rapide (ripple).
AIM-9+ Sidewinder x2_fullName,Full equip name of: AIM-9+ Sidewinder x2,AIM-9+ Sidewinder x2,AIM-9+ Sidewinder x2
AIM-9+ Sidewinder x2_description,Item description of: AIM-9+ Sidewinder x2,An internally mounted rack of two advanced heat-seeking AIM-9+ anti-air missiles.,Support interne de deux missiles air-air AIM-9+ a guidage thermique avance.
GMA-6 x2_fullName,Full equip name of: GMA-6 x2,GMA-6 x2,GMA-6 x2
GMA-6 x2_description,Item description of: GMA-6 x2,"A medium range optically guided ""fire-and-forget"" anti-tank missile.","Missiles anti-char a guidage optique moyen portee, ""tir et oublie""."
tutName_Weapon Basics,Name of a legacy tutorial objective,Weapon Basics,Bases des Armes
tutDesc_Weapon Basics,Description of a legacy tutorial,Complete the tutorial.,Completez le tutoriel.
tut:Weapon Basics:Intro10,A tutorial label,Welcome to the basic weapons tutorial.,Bienvenue dans le tutoriel sur les bases des armes.
tut:Weapon Basics:Intro21,A tutorial label,"Today, we will be covering weapon configuration, target acquisition, and firing weapons.","Aujourd'hui, nous aborderons la configuration des armes, l'acquisition de cibles et le tir."
tut:Weapon Basics:Intro32,A tutorial label,Let's start by setting the MFDs to the pages we will use.,Commencons par regler les MFDs sur les pages necessaires.
tut:Weapon Basics:MFD3GoHome3,A tutorial label,Go to HOME page.,Allez a la page HOME.
tut:Weapon Basics:Open EQUIP4,A tutorial label,Open EQUIP,Ouvrez EQUIP
tut:Weapon Basics:MFD2GoHome5,A tutorial label,Go to HOME page.,Allez a la page HOME.
tut:Weapon Basics:Open TGP6,A tutorial label,Open TGP,Ouvrez TGP
tut:Weapon Basics:MFD1GoHome7,A tutorial label,Go to HOME page.,Allez a la page HOME.
tut:Weapon Basics:Open NAV8,A tutorial label,Open NAV,Ouvrez NAV
tut:Weapon Basics:EQUIP info9,A tutorial label,The EQUIP page shows what you have on each of the vehicle's equipment mounts.,La page EQUIP affiche l'equipement monte sur chaque support de l'appareil.
tut:Weapon Basics:EQUIP info 210,A tutorial label,"It displays information on each item, and allows you to arm/disarm, configure, or mark them for jettison.","Elle presente les informations sur chaque element, et permet de les armer/desarmer, de les configurer ou de les marquer pour ejection."
tut:Weapon Basics:EQUIP info 311,A tutorial label,We'll go over each feature in more detail later.,Nous examinerons chaque fonctionnalite plus en detail plus tard.
tut:Weapon Basics:TGP info12,A tutorial label,The TGP is what you will use to acquire ground targets.,Le TGP est utilise pour acquerir les cibles au sol.
tut:Weapon Basics:TGP info 213,A tutorial label,"To use it, first you must supply power to the sensor mounted under the nose of the vehicle.","Pour l'utiliser, vous devez d'abord fournir de l'energie au capteur monte sous le nez de l'appareil."
tut:Weapon Basics:PWR on TGP14,A tutorial label,Enable TGP power.,Activez l'alimentation du TGP.
tut:Weapon Basics:TGP info 315,A tutorial label,"The TGP will be in FWD mode by default, which just looks straight forward.","Le TGP sera en mode FWD par defaut, ce qui signifie qu'il regarde droit devant."
tut:Weapon Basics:TGP info 416,A tutorial label,"To be able to control it, you must designate the TGP as the sensor of interest (SOI).","Pour le controler, vous devez designer le TGP comme capteur d'interet (SOI)."
tut:Weapon Basics:Enable TGP SOI17,A tutorial label,Enable SOI,Activez SOI
tut:Weapon Basics:Slew TGP info18,A tutorial label,"Now, you can slew the targeting sensor around using the thumb control on your joystick.",Vous pouvez maintenant orienter le capteur de ciblage en utilisant le controle au pouce de votre joystick.
tut:Weapon Basics:TrySlewing19,A tutorial label,Try slewing the TGP around using the joystick thumb control.,Essayez de deplacer le TGP en utilisant le controle au pouce du joystick.
tut:Weapon Basics:Slew TGP info 220,A tutorial label,"When you move the sensor, it will auto switch to TGT mode, which locks its focus point on the ground while you're flying.","Lorsque vous deplacez le capteur, il passe automatiquement en mode TGT, verrouillant son point de focalisation au sol pendant le vol."
tut:Weapon Basics:Slew TGP info 321,A tutorial label,The yellow arrow on the screen shows the relative bearing to the target point.,La fleche jaune a l'ecran montre l'azimut relatif vers le point cible.
tut:Weapon Basics:TGP info 522,A tutorial label,The target point also shows up on the NAV map as a yellow cross.,Le point cible apparait egalement sur la carte NAV sous la forme d'une croix jaune.
tut:Weapon Basics:Now lets take off23,A tutorial label,Now let's find some targets. Take off and fly to the objective waypoint.,Trouvons maintenant des cibles. Decollez et dirigez-vous vers le waypoint objectif.
tut:Weapon Basics:Brakes OFF24,A tutorial label,Unlock Brakes,Deverrouillez les Freins
tut:Weapon Basics:Fly to AO25,A tutorial label,,
tut:Weapon Basics:MasterArmInfo26,A tutorial label,"Now that we are in the AO, you can enable the Master Arm switch.","Maintenant que nous sommes dans la zone d'operation (AO), vous pouvez activer le commutateur Master Arm."
tut:Weapon Basics:MasterArm ON27,A tutorial label,Enable Master Arm,Activez le Master Arm
tut:Weapon Basics:MasterArmInfo228,A tutorial label,"With the weapon system armed, you will see some new icons on the HUD","Avec le systeme d'armement active, de nouveaux icones apparaitront sur le HUD."
tut:Weapon Basics:ReticleInfo29,A tutorial label,"At the center, you have the weapon targeting reticle or pipper.",Au centre se trouve le reticule ou le viseur d'armement.
tut:Weapon Basics:WeaponInfo30,A tutorial label,"Here, you have weapon type, name, and shots remaining.","Ici, vous trouverez le type d'armement, le nom et le nombre de tirs restants."
tut:Weapon Basics:WeaponSwitching31,A tutorial label,You can cycle through all ARMED weapons by pressing the button on the joystick.,Vous pouvez faire defiler toutes les armes ARMEES en appuyant sur le bouton du joystick.
tut:Weapon Basics:WeaponSwitching32,A tutorial label,Switch to HYDRA70,Passez a HYDRA70
tut:Weapon Basics:WeaponSwitching33,A tutorial label,Switch to GAU-8,Passez a GAU-8
tut:Weapon Basics:Firing34,A tutorial label,These unguided weapons can be fired by simply pulling the trigger on the joystick.,Ces armes non guidees peuvent etre tirees simplement en appuyant sur la gachette du joystick.
tut:Weapon Basics:Firing 235,A tutorial label,You have limited stores so save your rounds for the targets.,"Vous avez un nombre limite de munitions, alors gardez vos tirs pour les cibles."
tut:Weapon Basics:GunMission136,A tutorial label,Let's try deploying the GAU-8 on some ground targets.,Essayons maintenant de deployer le GAU-8 sur des cibles au sol.
tut:Weapon Basics:GunMission237,A tutorial label,"In a moment, you'll receive a mission objective.","Bientot, vous recevrez un objectif de mission."
tut:Weapon Basics:GunMission338,A tutorial label,You can auto-slew your TGP to the objective waypoint by pressing the WPT button in the TGP screen.,Vous pouvez orienter automatiquement votre TGP vers le waypoint objectif en appuyant sur le bouton WPT a l'ecran TGP.
tut:Weapon Basics:GunMission4 Start39,A tutorial label,Go ahead and destroy the tanks.,Allez-y et detruisez les chars.
tut:Weapon Basics:GunMission40,A tutorial label,,
tut:Weapon Basics:GoodJobGuns41,A tutorial label,Great job! Now let's work with rockets.,Tres bien ! Passons aux roquettes.
tut:Weapon Basics:SwitchToRockets42,A tutorial label,Switch to HYDRA70,Passez a HYDRA70
tut:Weapon Basics:Rocket info43,A tutorial label,"Hydra 70's are small, unguided rockets.",Les roquettes Hydra 70 sont petites et non guidees.
tut:Weapon Basics:Rocket info 244,A tutorial label,"By default, each pull of the trigger will fire one rocket.","Par defaut, chaque pression sur la gachette tire une roquette."
tut:Weapon Basics:Rocket info 345,A tutorial label,"However, they can be configured to launch rapidly. This is called 'ripple' firing.","Cependant, elles peuvent etre configurees pour lancer plusieurs roquettes en mode 'ripple'."
tut:Weapon Basics:Rocket info 446,A tutorial label,"To access a weapons config menu, set the EQUIP MFD page to CONFIG mode","Pour acceder au menu de configuration des armes, reglez la page EQUIP MFD sur le mode CONFIG."
tut:Weapon Basics:Set to config mode47,A tutorial label,Set to CONFIG mode,Reglez en mode CONFIG
tut:Weapon Basics:Rocket info 548,A tutorial label,"Then, select the weapon you want to configure.","Ensuite, selectionnez l'arme que vous souhaitez configurer."
tut:Weapon Basics:Rocket info 649,A tutorial label,"If you have multiple of the same weapon, the settings will be copied over to all of them.","Si vous avez plusieurs exemplaires de la meme arme, les reglages seront copies sur tous."
tut:Weapon Basics:TryRipple50,A tutorial label,Try setting the rockets to different ripple intervals and destroy the next set of targets.,Essayez de regler les roquettes a differents intervalles de deversement et detruisez le prochain ensemble de cibles.
tut:Weapon Basics:RocketMission51,A tutorial label,,
tut:Weapon Basics:Well done52,A tutorial label,Well done! You've destroyed all of the targets.,Bien joue ! Vous avez detruit toutes les cibles.
tut:Weapon Basics:Conclusion53,A tutorial label,This concludes the basic weapons tutorial.,Ce tutoriel sur les bases des armes est maintenant termine.
AV-42C_mfd_cam:B3,Label for an MFD button (short!).,PREV,PREC
AV-42C_mfd_cam:B5,Label for an MFD button (short!).,NEXT,SUIV
AV-42C_mfd_mission:B1,Label for an MFD button (short!).,WPT,WPT
AV-42C_mfd_mission:B1_tooltip,Tooltip for an MFD button.,Set Waypoint,Definir Waypoint
AV-42C_mfd_mission:B3,Label for an MFD button (short!).,NEXT,SUIVANT
AV-42C_mfd_mission:B3_tooltip,Tooltip for an MFD button.,Next Objective,Objectif Suiv
AV-42C_mfd_mission:B5,Label for an MFD button (short!).,PREV,PRECEDENT
AV-42C_mfd_mission:B5_tooltip,Tooltip for an MFD button.,Previous Objective,Objectif Prec
AV-42C_mfd_home:B1,Label for an MFD button (short!).,NAV,NAV
AV-42C_mfd_home:B1_tooltip,Tooltip for an MFD button.,Navigation,Navigation
AV-42C_mfd_home:B2,Label for an MFD button (short!).,OBJ,OBJ
AV-42C_mfd_home:B2_tooltip,Tooltip for an MFD button.,Objectives,Objectifs
AV-42C_mfd_home:B3,Label for an MFD button (short!).,CAM,CAM
AV-42C_mfd_home:B3_tooltip,Tooltip for an MFD button.,External Cameras,Cameras Externes
AV-42C_mfd_home:B4,Label for an MFD button (short!).,TGP,TGP
AV-42C_mfd_home:B4_tooltip,Tooltip for an MFD button.,Targeting,Ciblage
AV-42C_mfd_home:B5,Label for an MFD button (short!).,GPS,GPS
AV-42C_mfd_home:B5_tooltip,Tooltip for an MFD button.,GPS Targets,Cibles GPS
AV-42C_mfd_home:R2,Label for an MFD button (short!).,S-CAM,S-CAM
AV-42C_mfd_home:R2_tooltip,Tooltip for an MFD button.,Spectator Camera,Camera Spectateur
AV-42C_mfd_home:R3,Label for an MFD button (short!).,GAME,JEU
AV-42C_mfd_home:R3_tooltip,Tooltip for an MFD button.,Game Menu,Menu du Jeu
AV-42C_mfd_home:R4,Label for an MFD button (short!).,LOG,JOURNAL
AV-42C_mfd_home:R4_tooltip,Tooltip for an MFD button.,Flight Log,Journal de Vol
AV-42C_mfd_home:L2,Label for an MFD button (short!).,EQUIP,EQUIP
AV-42C_mfd_home:L2_tooltip,Tooltip for an MFD button.,Mounted Equipment,Equipement Monte
AV-42C_mfd_home:L3,Label for an MFD button (short!).,OPTION,OPTION
AV-42C_mfd_home:L3_tooltip,Tooltip for an MFD button.,Options,Options
AV-42C_mfd_home:L4,Label for an MFD button (short!).,COMMS,COMMS
AV-42C_mfd_home:L4_tooltip,Tooltip for an MFD button.,Communications,Communications
AV-42C_mfd_home:T5,Label for an MFD button (short!).,ARAD,ARAD
AV-42C_mfd_home:T5_tooltip,Tooltip for an MFD button.,Antiradar Attack Display,Affichage d'Attaque Anti-Radar
AV-42C_mfd_home:L5,Label for an MFD button (short!).,CMS,CMS
AV-42C_mfd_home:L5_tooltip,Tooltip for an MFD button.,Countermeasure System,Systeme de Contre-Mesures
AV-42C_mfd_flightLog:R2_tooltip,Tooltip for an MFD button.,Scroll Up,Defiler vers Haut
AV-42C_mfd_flightLog:R4_tooltip,Tooltip for an MFD button.,Scroll Down,Defiler vers Bas
AV-42C_mfd_flightLog:R5_tooltip,Tooltip for an MFD button.,Scroll Bottom,Defiler tout en Bas
AV-42C_mfd_flightLog:B3_tooltip,Tooltip for an MFD button.,Dump log to file.,Exporter le journal dans un fichier.
AV-42C_mfd_flyCam:B2,Label for an MFD button (short!).,START,START
AV-42C_mfd_flyCam:B2_tooltip,Tooltip for an MFD button.,Start Camera,Start Camera
AV-42C_mfd_flyCam:B3,Label for an MFD button (short!).,END,ARRETER
AV-42C_mfd_flyCam:B3_tooltip,Tooltip for an MFD button.,End Camera,Arreter Camera
AV-42C_mfd_flyCam:B1,Label for an MFD button (short!).,VIEW,VUE
AV-42C_mfd_flyCam:B1_tooltip,Tooltip for an MFD button.,Toggle Preview,Activer l'Apercu
AV-42C_mfd_flyCam:R1,Label for an MFD button (short!).,RANDM,RANDM
AV-42C_mfd_flyCam:R1_tooltip,Tooltip for an MFD button.,Toggle Random,Activer Aleatoire
AV-42C_mfd_flyCam:L3,Label for an MFD button (short!).,FOV:,FOV :
AV-42C_mfd_flyCam:L3_tooltip,Tooltip for an MFD button.,Toggle FOV,Changer FOV
AV-42C_mfd_flyCam:L4,Label for an MFD button (short!).,,
AV-42C_mfd_flyCam:L4_tooltip,Tooltip for an MFD button.,Toggle AutoFOV,Changer AutoFOV
AV-42C_mfd_flyCam:L5,Label for an MFD button (short!).,,
AV-42C_mfd_flyCam:L5_tooltip,Tooltip for an MFD button.,Toggle Audio Mode,Changer Mode Audio
AV-42C_mfd_flyCam:R2,Label for an MFD button (short!).,MODE,MODE
AV-42C_mfd_flyCam:R2_tooltip,Tooltip for an MFD button.,Toggle Cam Mode,Changer Cam Mode
AV-42C_mfd_flyCam:R3,Label for an MFD button (short!).,LOOK,LOOK
AV-42C_mfd_flyCam:R3_tooltip,Tooltip for an MFD button.,Toggle Look Mode,Changer Mode Look
AV-42C_mfd_flyCam:R5,Label for an MFD button (short!).,,
AV-42C_mfd_flyCam:R5_tooltip,Tooltip for an MFD button.,Toggle Auto-Reset,Changer Auto-Reset
AV-42C_mfd_flyCam:B5,Label for an MFD button (short!).,,
AV-42C_mfd_flyCam:B5_tooltip,Tooltip for an MFD button.,Cycle Reset Time,Temps Cycle Reset
AV-42C_mfd_flyCam:T3,Label for an MFD button (short!).,SS,SS
AV-42C_mfd_flyCam:T3_tooltip,Tooltip for an MFD button.,4K Screenshot,4K Screenshot
AV-42C_mfd_hardpoints:R2_tooltip,Tooltip for an MFD button.,HP Gun,HP Gun
AV-42C_mfd_hardpoints:L4_tooltip,Tooltip for an MFD button.,HP 1,HP 1
AV-42C_mfd_hardpoints:L3_tooltip,Tooltip for an MFD button.,HP 2,HP 2
AV-42C_mfd_hardpoints:R3_tooltip,Tooltip for an MFD button.,HP 3,HP 3
AV-42C_mfd_hardpoints:R4_tooltip,Tooltip for an MFD button.,HP 4,HP 4
AV-42C_mfd_hardpoints:L5_tooltip,Tooltip for an MFD button.,HP 5,HP 5
AV-42C_mfd_hardpoints:R5_tooltip,Tooltip for an MFD button.,HP 6,HP 6
AV-42C_mfd_hardpoints:L2,Label for an MFD button (short!).,MODE:,MODE :
AV-42C_mfd_hardpoints:L2_tooltip,Tooltip for an MFD button.,Toggle Mode,Activer Mode
AV-42C_mfd_hardpointInfoPage:R1_tooltip,Tooltip for an MFD button.,Return to Equip,Retourner a Equipe
AV-42C_mfd_hardpointInfoPage:B2_tooltip,Tooltip for an MFD button.,Toggle Arming,Activer Armement
AV-42C_mfd_hardpointInfoPage:B5_tooltip,Tooltip for an MFD button.,Toggle Jettison,Activer Ejection
AV-42C_mfd_antiRad:T5,Label for an MFD button (short!).,SOI,SOI
AV-42C_mfd_antiRad:T5_tooltip,Tooltip for an MFD button.,Sensor of Interest,Capteur d'Interet
AV-42C_mfd_antiRad:R4,Label for an MFD button (short!).,HUD,HUD
AV-42C_mfd_antiRad:R4_tooltip,Tooltip for an MFD button.,HUD Mode,HUD Mode
AV-42C_mfd_antiRad:R5_tooltip,Tooltip for an MFD button.,Declutter,Desencombrer
AV-42C_mfd_gameMenu:B2,Label for an MFD button (short!).,RESTART,REDEMARRER
AV-42C_mfd_gameMenu:B2_tooltip,Tooltip for an MFD button.,Restart Mission,Redemarrer Mission
AV-42C_mfd_gameMenu:B4,Label for an MFD button (short!).,EXIT,SORTIE
AV-42C_mfd_gameMenu:B4_tooltip,Tooltip for an MFD button.,Return to Main,Retour au Menu Principal
AV-42C_mfd_gameMenu:R2,Label for an MFD button (short!).,CENTER,CENTRER
AV-42C_mfd_gameMenu:R2_tooltip,Tooltip for an MFD button.,Recenter Seat Position,Recentrer Position du Siege
AV-42C_mfd_gameMenu:L3,Label for an MFD button (short!).,QSAVE,QSAVE
AV-42C_mfd_gameMenu:L3_tooltip,Tooltip for an MFD button.,Quick Save Menu,Menu Sauvegarde Rapide
AV-42C_mfd_quicksave:L3_tooltip,Tooltip for an MFD button.,Save,Sauvegarder
AV-42C_mfd_quicksave:B4_tooltip,Tooltip for an MFD button.,Load,Charger
AV-42C_mfd_quicksave:T5,Label for an MFD button (short!).,BACK,RETOUR
AV-42C_mfd_quicksave:T5_tooltip,Tooltip for an MFD button.,Back,Retour
AV-42C_mfd_gpsTgts:T2,Label for an MFD button (short!).,MAP,CARTE
AV-42C_mfd_gpsTgts:T2_tooltip,Tooltip for an MFD button.,Nav Carte,Carte de Nav
AV-42C_mfd_gpsTgts:T3,Label for an MFD button (short!).,WPT,WPT
AV-42C_mfd_gpsTgts:T3_tooltip,Tooltip for an MFD button.,Set Waypoints,Definir Waypoints
AV-42C_mfd_gpsTgts:L2_tooltip,Tooltip for an MFD button.,Previous Group,Groupe Precedent
AV-42C_mfd_gpsTgts:L3_tooltip,Tooltip for an MFD button.,Next Group,Groupe Suivant
AV-42C_mfd_gpsTgts:B1_tooltip,Tooltip for an MFD button.,Create Group,Creer Groupe
AV-42C_mfd_gpsTgts:B2_tooltip,Tooltip for an MFD button.,Delete Group,Supprimer Groupe
AV-42C_mfd_gpsTgts:B4_tooltip,Tooltip for an MFD button.,Delete Target,Supprimer Cible
AV-42C_mfd_gpsTgts:R3_tooltip,Tooltip for an MFD button.,Next Target,Cible Suivante
AV-42C_mfd_gpsTgts:R2_tooltip,Tooltip for an MFD button.,Previous Target,Cible Precedente
AV-42C_mfd_gpsTgts:R1_tooltip,Tooltip for an MFD button.,Toggle Path Mode,Activer Mode Trajet
AV-42C_mfd_gpsTgts:R4_tooltip,Tooltip for an MFD button.,Move Up,Monter
AV-42C_mfd_gpsTgts:R5_tooltip,Tooltip for an MFD button.,MoveDown,Descendre
AV-42C_mfd_target:B3,Label for an MFD button (short!).,HEAD,TETE
AV-42C_mfd_target:B3_tooltip,Tooltip for an MFD button.,Head-track Mode,Mode Suivi de Tete
AV-42C_mfd_target:B2,Label for an MFD button (short!).,FWD,AVANT
AV-42C_mfd_target:B2_tooltip,Tooltip for an MFD button.,Forward Mode,Mode Avance
AV-42C_mfd_target:B5,Label for an MFD button (short!).,PWR,PWR
AV-42C_mfd_target:B5_tooltip,Tooltip for an MFD button.,Toggle TGP Power,Activer Alimentation TGP
AV-42C_mfd_target:R2,Label for an MFD button (short!).,ZOOM+,ZOOM+
AV-42C_mfd_target:R2_tooltip,Tooltip for an MFD button.,Zoom In,Zoom Avant
AV-42C_mfd_target:R3,Label for an MFD button (short!).,ZOOM-,ZOOM-
AV-42C_mfd_target:R3_tooltip,Tooltip for an MFD button.,Zoom Out,Zoom Arriere
AV-42C_mfd_target:R4,Label for an MFD button (short!).,GPS-S,GPS-S
AV-42C_mfd_target:R4_tooltip,Tooltip for an MFD button.,GPS Send,Envoyer GPS
AV-42C_mfd_target:R5,Label for an MFD button (short!).,GPS-A,GPS-A
AV-42C_mfd_target:R5_tooltip,Tooltip for an MFD button.,GPS Acquire,Acquerir GPS
AV-42C_mfd_target:L2,Label for an MFD button (short!).,MODE,MODE
AV-42C_mfd_target:L2_tooltip,Tooltip for an MFD button.,Cycle Modes,Changer de Modes
AV-42C_mfd_target:L3,Label for an MFD button (short!).,SENS,SENS
AV-42C_mfd_target:L3_tooltip,Tooltip for an MFD button.,Sensor Mode,Mode Capteur
AV-42C_mfd_target:T3,Label for an MFD button (short!).,WPT,WPT
AV-42C_mfd_target:T3_tooltip,Tooltip for an MFD button.,To Waypoint,Vers Waypoint
AV-42C_mfd_target:T5,Label for an MFD button (short!).,SOI,SOI
AV-42C_mfd_target:T5_tooltip,Tooltip for an MFD button.,Toggle Sensor of Interest,Activer Capteur d'Interet
AV-42C_mfd_target:B4_tooltip,Tooltip for an MFD button.,Toggle HMD View,Activer Vue HMD
AV-42C_mfd_target:L4,Label for an MFD button (short!).,LIM,LIM
AV-42C_mfd_target:L4_tooltip,Tooltip for an MFD button.,Toggle Limits Overlay,Activer Superposition des Limites
AV-42C_mfd_cmsPage:L4_tooltip,Tooltip for an MFD button.,Release Mode,Release Mode
AV-42C_mfd_cmsPage:B2,Label for an MFD button (short!).,-,-
AV-42C_mfd_cmsPage:B2_tooltip,Tooltip for an MFD button.,- Release Rate,- Release Rate
AV-42C_mfd_cmsPage:B4,Label for an MFD button (short!).,+,+
AV-42C_mfd_cmsPage:B4_tooltip,Tooltip for an MFD button.,+ Release Rate,+ Release Rate
AV-42C_mfd_map:T2,Label for an MFD button (short!).,GPS,GPS
AV-42C_mfd_map:T2_tooltip,Tooltip for an MFD button.,GPS Targets,Cibles GPS
AV-42C_mfd_map:R2,Label for an MFD button (short!).,ZOOM+,ZOOM+
AV-42C_mfd_map:R3,Label for an MFD button (short!).,ZOOM-,ZOOM-
AV-42C_mfd_map:R4,Label for an MFD button (short!).,UP,HAUT
AV-42C_mfd_map:R5,Label for an MFD button (short!).,DOWN,BAS
AV-42C_mfd_map:B4,Label for an MFD button (short!).,LEFT,GAUCHE
AV-42C_mfd_map:B5,Label for an MFD button (short!).,RIGHT,DROIT
AV-42C_mfd_map:R1,Label for an MFD button (short!).,RESET,RESET
AV-42C_mfd_map:R1_tooltip,Tooltip for an MFD button.,Reset Offset,Reinitialiser Decalage
AV-42C_mfd_map:T4,Label for an MFD button (short!).,MODE,MODE
AV-42C_mfd_map:T4_tooltip,Tooltip for an MFD button.,Toggle Rotation Mode,Activer Mode de Rotation
AV-42C_mfd_map:T5,Label for an MFD button (short!).,SOI,SOI
AV-42C_mfd_map:T5_tooltip,Tooltip for an MFD button.,Toggle Sensor of Interest,Activer Capteur d'Interet
AV-42C_mfd_map:L4,Label for an MFD button (short!).,FUEL,FUEL
AV-42C_mfd_map:L4_tooltip,Tooltip for an MFD button.,Set Fuel Waypoint,Definir Waypoint de Carburant
AV-42C_mfd_map:L3,Label for an MFD button (short!).,RTB,RTB
AV-42C_mfd_map:L3_tooltip,Tooltip for an MFD button.,Set Return to Base Waypoint,Definir Waypoint de Retour a la Base
AV-42C_mfd_map:L2,Label for an MFD button (short!).,OBJ,OBJ
AV-42C_mfd_map:L2_tooltip,Tooltip for an MFD button.,Set Objective Waypoint,Definir Waypoint d'Objectif
AV-42C_mfd_map:B1,Label for an MFD button (short!).,ALT-,ALT-
AV-42C_mfd_map:B1_tooltip,Tooltip for an MFD button.,Lower Target Alt,Abaisser Altitude Cible
AV-42C_mfd_map:B2,Label for an MFD button (short!).,ALT+,ALT+
AV-42C_mfd_map:B2_tooltip,Tooltip for an MFD button.,Raise Target Alt,Augmenter Altitude Cible
AV-42C_mfd_map:B3,Label for an MFD button (short!).,GPS-S,GPS-S
